country,country_code,year,gini
Denmark,DNK,1992.0,24.7
Dominican Republic,DOM,1992.0,51.1
United Kingdom,GBR,1992.0,35.0
Guyana,GUY,1992.0,39.5
Honduras,HND,1992.0,51.8
Israel,ISR,1992.0,35.5
Jordan,JOR,1992.0,43.1
Kenya,KEN,1992.0,56.9
Lao PDR,LAO,1992.0,34.3
Luxembourg,LUX,1992.0,27.3
Mexico,MEX,1992.0,52.3
Malaysia,MYS,1992.0,47.7
Niger,NER,1992.0,36.0
Nigeria,NGA,1992.0,44.9
Poland,POL,1992.0,29.3
Romania,ROU,1992.0,25.5
Slovak Republic,SVK,1992.0,20.2
Sweden,SWE,1992.0,24.9
Thailand,THA,1992.0,47.9
Trinidad and Tobago,TTO,1992.0,40.2
Uganda,UGA,1992.0,41.4
Ukraine,UKR,1992.0,29.7
Uruguay,URY,1992.0,41.5
United States,USA,1992.0,38.4
"Venezuela, RB",VEN,1992.0,42.1
Viet Nam,VNM,1992.0,35.7
Argentina,ARG,1993.0,44.8
Belarus,BLR,1993.0,21.6
Belize,BLZ,1993.0,60.2
Brazil,BRA,1993.0,60.1
Botswana,BWA,1993.0,60.1
Canada,CAN,1993.0,31.7
China,CHN,1993.0,33.9
Costa Rica,CRI,1993.0,45.9
Czechia,CZE,1993.0,26.6
Germany,DEU,1993.0,28.6
Spain,ESP,1993.0,35.7
Estonia,EST,1993.0,39.4
United Kingdom,GBR,1993.0,35.1
Guinea-Bissau,GNB,1993.0,43.6
Honduras,HND,1993.0,53.4
Hungary,HUN,1993.0,27.9
Indonesia,IDN,1993.0,31.8
India,IND,1993.0,26.1
Italy,ITA,1993.0,35.1
Jamaica,JAM,1993.0,35.7
Kazakhstan,KAZ,1993.0,32.7
Lithuania,LTU,1993.0,33.2
Luxembourg,LUX,1993.0,27.0
Latvia,LVA,1993.0,27.0
Madagascar,MDG,1993.0,45.2
Mauritania,MRT,1993.0,49.5
Namibia,NAM,1993.0,71.1
Nicaragua,NIC,1993.0,57.1
Netherlands,NLD,1993.0,30.4
Poland,POL,1993.0,26.7
Russian Federation,RUS,1993.0,45.4
Slovenia,SVN,1993.0,29.1
Ukraine,UKR,1993.0,28.9
United States,USA,1993.0,40.4
South Africa,ZAF,1993.0,59.3
Zambia,ZMB,1993.0,52.6
Argentina,ARG,1994.0,45.9
Austria,AUT,1994.0,30.8
Burkina Faso,BFA,1994.0,48.0
Bulgaria,BGR,1994.0,24.3
Belize,BLZ,1994.0,60.9
Canada,CAN,1994.0,31.3
Chile,CHL,1994.0,56.4
Costa Rica,CRI,1994.0,46.7
Germany,DEU,1994.0,29.2
Ecuador,ECU,1994.0,53.3
Spain,ESP,1994.0,35.1
United Kingdom,GBR,1994.0,36.0
Guinea,GIN,1994.0,46.1
Honduras,HND,1994.0,55.0
Hungary,HUN,1994.0,33.3
Ireland,IRL,1994.0,36.9
"Iran, Islamic Rep.",IRN,1994.0,43.0
Kenya,KEN,1994.0,43.1
Lesotho,LSO,1994.0,63.0
Luxembourg,LUX,1994.0,28.1
Mexico,MEX,1994.0,53.4
Mali,MLI,1994.0,50.1
Niger,NER,1994.0,41.5
Peru,PER,1994.0,44.0
Philippines,PHL,1994.0,42.9
Romania,ROU,1994.0,28.2
Senegal,SEN,1994.0,39.2
Eswatini,SWZ,1994.0,58.7
Thailand,THA,1994.0,43.5
Turkiye,TUR,1994.0,41.3
United States,USA,1994.0,40.0
Argentina,ARG,1995.0,48.9
Australia,AUS,1995.0,32.6
Austria,AUT,1995.0,29.9
Azerbaijan,AZE,1995.0,34.6
Belgium,BEL,1995.0,28.4
Bangladesh,BGD,1995.0,32.9
Bulgaria,BGR,1995.0,32.8
Belarus,BLR,1995.0,28.7
Belize,BLZ,1995.0,57.5
Brazil,BRA,1995.0,59.5
Canada,CAN,1995.0,31.5
Cote d'Ivoire,CIV,1995.0,40.6
Costa Rica,CRI,1995.0,45.7
Germany,DEU,1995.0,28.8
Denmark,DNK,1995.0,23.0
Algeria,DZA,1995.0,35.3
Ecuador,ECU,1995.0,50.8
"Egypt, Arab Rep.",EGY,1995.0,30.1
Spain,ESP,1995.0,35.7
Estonia,EST,1995.0,30.1
Ethiopia,ETH,1995.0,44.6
Finland,FIN,1995.0,23.5
United Kingdom,GBR,1995.0,35.5
Greece,GRC,1995.0,37.0
Honduras,HND,1995.0,55.5
Ireland,IRL,1995.0,37.0
Italy,ITA,1995.0,35.2
St. Lucia,LCA,1995.0,42.6
Sri Lanka,LKA,1995.0,35.4
Luxembourg,LUX,1995.0,28.3
Latvia,LVA,1995.0,31.0
Mongolia,MNG,1995.0,33.2
Mauritania,MRT,1995.0,37.7
Malaysia,MYS,1995.0,48.5
Norway,NOR,1995.0,26.0
Nepal,NPL,1995.0,35.2
Panama,PAN,1995.0,57.6
Poland,POL,1995.0,34.6
Paraguay,PRY,1995.0,58.1
Romania,ROU,1995.0,31.2
El Salvador,SLV,1995.0,49.8
Sweden,SWE,1995.0,25.2
Tunisia,TUN,1995.0,41.7
Ukraine,UKR,1995.0,39.2
Uruguay,URY,1995.0,40.9
United States,USA,1995.0,39.9
"Venezuela, RB",VEN,1995.0,47.2
Albania,ALB,1996.0,27.0
Argentina,ARG,1996.0,49.5
Armenia,ARM,1996.0,44.4
Austria,AUT,1996.0,29.3
Belize,BLZ,1996.0,56.6
Brazil,BRA,1996.0,59.8
Canada,CAN,1996.0,32.8
Chile,CHL,1996.0,54.9
China,CHN,1996.0,35.2
Cameroon,CMR,1996.0,44.4
Colombia,COL,1996.0,56.8
Costa Rica,CRI,1996.0,46.5
Czechia,CZE,1996.0,25.8
Germany,DEU,1996.0,28.0
Dominican Republic,DOM,1996.0,47.4
Spain,ESP,1996.0,36.5
France,FRA,1996.0,32.0
United Kingdom,GBR,1996.0,35.3
Georgia,GEO,1996.0,37.1
Honduras,HND,1996.0,55.7
Indonesia,IDN,1996.0,34.2
Ireland,IRL,1996.0,35.6
Jamaica,JAM,1996.0,40.4
Kazakhstan,KAZ,1996.0,35.4
Lithuania,LTU,1996.0,32.3
Luxembourg,LUX,1996.0,29.0
Latvia,LVA,1996.0,31.6
Mexico,MEX,1996.0,52.0
Mozambique,MOZ,1996.0,53.3
Nigeria,NGA,1996.0,51.9
Pakistan,PAK,1996.0,28.7
Papua New Guinea,PNG,1996.0,45.8
Poland,POL,1996.0,32.6
Russian Federation,RUS,1996.0,46.1
El Salvador,SLV,1996.0,51.0
Slovak Republic,SVK,1996.0,26.3
Syrian Arab Republic,SYR,1996.0,35.2
Thailand,THA,1996.0,42.9
Uganda,UGA,1996.0,39.0
Ukraine,UKR,1996.0,35.2
Uruguay,URY,1996.0,40.8
United States,USA,1996.0,40.3
Zambia,ZMB,1996.0,48.3
Argentina,ARG,1997.0,49.1
Austria,AUT,1997.0,29.1
Belgium,BEL,1997.0,26.8
Bulgaria,BGR,1997.0,26.4
Belize,BLZ,1997.0,60.4
Bolivia,BOL,1997.0,58.1
Brazil,BRA,1997.0,59.8
Canada,CAN,1997.0,33.1
Costa Rica,CRI,1997.0,45.6
Germany,DEU,1997.0,28.2
Dominican Republic,DOM,1997.0,48.9
Spain,ESP,1997.0,35.3
France,FRA,1997.0,31.9
United Kingdom,GBR,1997.0,35.7
Georgia,GEO,1997.0,40.7
Honduras,HND,1997.0,52.7
Israel,ISR,1997.0,38.1
Jordan,JOR,1997.0,36.4
Kenya,KEN,1997.0,45.0
Lao PDR,LAO,1997.0,34.9
Luxembourg,LUX,1997.0,29.6
Latvia,LVA,1997.0,34.4
Moldova,MDA,1997.0,36.9
Madagascar,MDG,1997.0,39.4
Malawi,MWI,1997.0,65.8
Malaysia,MYS,1997.0,49.1
Panama,PAN,1997.0,58.1
Peru,PER,1997.0,53.3
Philippines,PHL,1997.0,46.0
Paraguay,PRY,1997.0,54.9
Romania,ROU,1997.0,30.5
Russian Federation,RUS,1997.0,38.4
Slovenia,SVN,1997.0,24.1
Uruguay,URY,1997.0,41.5
United States,USA,1997.0,40.5
Viet Nam,VNM,1997.0,35.4
Argentina,ARG,1998.0,50.7
Austria,AUT,1998.0,31.3
Burundi,BDI,1998.0,42.1
Burkina Faso,BFA,1998.0,49.9
Belarus,BLR,1998.0,32.0
Belize,BLZ,1998.0,54.9
Brazil,BRA,1998.0,59.6
Canada,CAN,1998.0,33.2
Chile,CHL,1998.0,55.5
Cote d'Ivoire,CIV,1998.0,39.0
Costa Rica,CRI,1998.0,45.6
Germany,DEU,1998.0,28.3
Ecuador,ECU,1998.0,49.6
Spain,ESP,1998.0,34.6
Estonia,EST,1998.0,37.6
France,FRA,1998.0,31.7
United Kingdom,GBR,1998.0,36.6
Georgia,GEO,1998.0,41.2
Ghana,GHA,1998.0,40.1
"Gambia, The",GMB,1998.0,48.3
Guatemala,GTM,1998.0,49.4
Guyana,GUY,1998.0,45.1
Honduras,HND,1998.0,57.3
Croatia,HRV,1998.0,28.7
Hungary,HUN,1998.0,26.4
Indonesia,IDN,1998.0,30.9
"Iran, Islamic Rep.",IRN,1998.0,44.1
Italy,ITA,1998.0,36.7
Kyrgyz Republic,KGZ,1998.0,46.3
Lithuania,LTU,1998.0,32.1
Luxembourg,LUX,1998.0,30.6
Latvia,LVA,1998.0,33.3
Morocco,MAR,1998.0,39.4
Moldova,MDA,1998.0,39.5
Mexico,MEX,1998.0,53.3
North Macedonia,MKD,1998.0,28.1
Mongolia,MNG,1998.0,30.3
Nicaragua,NIC,1998.0,54.4
Pakistan,PAK,1998.0,33.1
Panama,PAN,1998.0,57.3
Peru,PER,1998.0,55.1
Poland,POL,1998.0,32.3
Romania,ROU,1998.0,31.1
Russian Federation,RUS,1998.0,38.1
El Salvador,SLV,1998.0,54.4
Slovenia,SVN,1998.0,28.4
Thailand,THA,1998.0,41.5
Turkmenistan,TKM,1998.0,40.8
Uruguay,URY,1998.0,42.5
United States,USA,1998.0,40.0
Uzbekistan,UZB,1998.0,44.1
"Venezuela, RB",VEN,1998.0,48.0
"Yemen, Rep.",YEM,1998.0,35.0
Zambia,ZMB,1998.0,49.1
Argentina,ARG,1999.0,49.8
Armenia,ARM,1999.0,36.2
Austria,AUT,1999.0,29.7
Belarus,BLR,1999.0,31.7
Belize,BLZ,1999.0,53.2
Bolivia,BOL,1999.0,58.0
Brazil,BRA,1999.0,59.0
Canada,CAN,1999.0,33.1
China,CHN,1999.0,38.7
Colombia,COL,1999.0,58.5
Costa Rica,CRI,1999.0,47.6
Germany,DEU,1999.0,29.0
Ecuador,ECU,1999.0,58.6
"Egypt, Arab Rep.",EGY,1999.0,30.8
Spain,ESP,1999.0,33.8
Ethiopia,ETH,1999.0,30.0
France,FRA,1999.0,32.5
United Kingdom,GBR,1999.0,36.8
Georgia,GEO,1999.0,40.1
Honduras,HND,1999.0,55.2
Croatia,HRV,1999.0,27.6
Hungary,HUN,1999.0,30.2
Indonesia,IDN,1999.0,30.8
Jamaica,JAM,1999.0,44.1
Lithuania,LTU,1999.0,32.0
Luxembourg,LUX,1999.0,30.0
Moldova,MDA,1999.0,42.6
Madagascar,MDG,1999.0,38.6
Netherlands,NLD,1999.0,28.1
Panama,PAN,1999.0,56.3
Peru,PER,1999.0,54.8
Poland,POL,1999.0,32.3
Paraguay,PRY,1999.0,54.6
Romania,ROU,1999.0,29.4
Russian Federation,RUS,1999.0,37.4
El Salvador,SLV,1999.0,52.1
Suriname,SUR,1999.0,57.5
Slovenia,SVN,1999.0,24.0
Seychelles,SYC,1999.0,42.8
Thailand,THA,1999.0,43.1
Tajikistan,TJK,1999.0,29.5
Uganda,UGA,1999.0,43.0
Ukraine,UKR,1999.0,28.9
United States,USA,1999.0,40.0
"Venezuela, RB",VEN,1999.0,47.7
Angola,AGO,2000.0,51.9
Argentina,ARG,2000.0,51.0
Austria,AUT,2000.0,29.0
Belgium,BEL,2000.0,33.1
Bangladesh,BGD,2000.0,33.4
Belarus,BLR,2000.0,31.2
Bolivia,BOL,2000.0,61.6
Canada,CAN,2000.0,33.4
Switzerland,CHE,2000.0,33.4
Chile,CHL,2000.0,52.8
Colombia,COL,2000.0,58.4
Costa Rica,CRI,2000.0,47.4
Germany,DEU,2000.0,28.9
Denmark,DNK,2000.0,23.8
Dominican Republic,DOM,2000.0,51.5
Ecuador,ECU,2000.0,56.3
Spain,ESP,2000.0,34.1
Estonia,EST,2000.0,35.8
Finland,FIN,2000.0,27.2
France,FRA,2000.0,32.6
United Kingdom,GBR,2000.0,38.8
Georgia,GEO,2000.0,40.5
Greece,GRC,2000.0,34.4
Guatemala,GTM,2000.0,54.2
Croatia,HRV,2000.0,31.3
Hungary,HUN,2000.0,27.2
Indonesia,IDN,2000.0,30.3
Ireland,IRL,2000.0,33.0
Italy,ITA,2000.0,35.2
Kyrgyz Republic,KGZ,2000.0,31.0
Lithuania,LTU,2000.0,31.7
Luxembourg,LUX,2000.0,30.1
Morocco,MAR,2000.0,40.6
Moldova,MDA,2000.0,36.4
Mexico,MEX,2000.0,53.4
North Macedonia,MKD,2000.0,34.3
Mauritania,MRT,2000.0,39.0
Norway,NOR,2000.0,27.4
Panama,PAN,2000.0,56.6
Peru,PER,2000.0,49.1
Philippines,PHL,2000.0,47.7
Poland,POL,2000.0,33.0
Romania,ROU,2000.0,29.3
Russian Federation,RUS,2000.0,37.1
Rwanda,RWA,2000.0,48.5
El Salvador,SLV,2000.0,51.5
Sao Tome and Principe,STP,2000.0,32.1
Sweden,SWE,2000.0,27.0
Eswatini,SWZ,2000.0,53.1
Thailand,THA,2000.0,42.8
Tonga,TON,2000.0,37.7
Tunisia,TUN,2000.0,40.8
Tanzania,TZA,2000.0,37.3
Uruguay,URY,2000.0,43.4
United States,USA,2000.0,40.1
Uzbekistan,UZB,2000.0,35.9
South Africa,ZAF,2000.0,57.8
Argentina,ARG,2001.0,53.3
Armenia,ARM,2001.0,35.4
Australia,AUS,2001.0,33.5
Azerbaijan,AZE,2001.0,36.5
Bulgaria,BGR,2001.0,32.7
Bosnia and Herzegovina,BIH,2001.0,30.0
Belarus,BLR,2001.0,30.6
Bolivia,BOL,2001.0,57.4
Brazil,BRA,2001.0,58.4
Canada,CAN,2001.0,33.6
Cameroon,CMR,2001.0,42.1
Colombia,COL,2001.0,57.3
Cabo Verde,CPV,2001.0,52.5
Costa Rica,CRI,2001.0,51.5
Germany,DEU,2001.0,29.9
Dominican Republic,DOM,2001.0,50.0
Estonia,EST,2001.0,36.0
France,FRA,2001.0,32.5
United Kingdom,GBR,2001.0,37.1
Georgia,GEO,2001.0,39.6
Honduras,HND,2001.0,55.4
Croatia,HRV,2001.0,31.1
Haiti,HTI,2001.0,59.0
Hungary,HUN,2001.0,26.9
Indonesia,IDN,2001.0,31.2
Israel,ISR,2001.0,38.9
Kazakhstan,KAZ,2001.0,36.0
Kyrgyz Republic,KGZ,2001.0,30.2
Lithuania,LTU,2001.0,32.0
Luxembourg,LUX,2001.0,30.9
Moldova,MDA,2001.0,38.0
Madagascar,MDG,2001.0,47.4
Mali,MLI,2001.0,39.9
Nicaragua,NIC,2001.0,52.9
Pakistan,PAK,2001.0,28.7
Panama,PAN,2001.0,56.7
Peru,PER,2001.0,51.3
Poland,POL,2001.0,32.8
Paraguay,PRY,2001.0,54.6
Romania,ROU,2001.0,29.4
Russian Federation,RUS,2001.0,36.9
Senegal,SEN,2001.0,41.2
El Salvador,SLV,2001.0,51.3
Sweden,SWE,2001.0,26.5
Timor-Leste,TLS,2001.0,35.9
Uruguay,URY,2001.0,45.0
United States,USA,2001.0,40.6
"Venezuela, RB",VEN,2001.0,47.2
Albania,ALB,2002.0,31.7
Argentina,ARG,2002.0,53.8
Armenia,ARM,2002.0,34.8
Azerbaijan,AZE,2002.0,25.3
Belarus,BLR,2002.0,30.3
Bolivia,BOL,2002.0,59.3
Brazil,BRA,2002.0,58.1
Botswana,BWA,2002.0,61.5
Canada,CAN,2002.0,33.6
Switzerland,CHE,2002.0,31.7
China,CHN,2002.0,42.0
Cote d'Ivoire,CIV,2002.0,41.3
Colombia,COL,2002.0,56.0
Costa Rica,CRI,2002.0,51.8
Czechia,CZE,2002.0,26.6
Germany,DEU,2002.0,29.8
Djibouti,DJI,2002.0,40.0
Dominican Republic,DOM,2002.0,49.7
Estonia,EST,2002.0,35.8
Fiji,FJI,2002.0,38.1
France,FRA,2002.0,31.8
United Kingdom,GBR,2002.0,35.1
Georgia,GEO,2002.0,37.2
Guinea,GIN,2002.0,43.0
Guinea-Bissau,GNB,2002.0,35.6
Greece,GRC,2002.0,35.5
Honduras,HND,2002.0,55.7
Hungary,HUN,2002.0,26.8
Indonesia,IDN,2002.0,30.2
Ireland,IRL,2002.0,32.3
Israel,ISR,2002.0,39.6
Italy,ITA,2002.0,34.7
Jamaica,JAM,2002.0,48.3
Jordan,JOR,2002.0,37.0
Kazakhstan,KAZ,2002.0,34.8
Kyrgyz Republic,KGZ,2002.0,30.3
Lao PDR,LAO,2002.0,32.6
Sri Lanka,LKA,2002.0,40.2
Lesotho,LSO,2002.0,51.2
Lithuania,LTU,2002.0,31.9
Luxembourg,LUX,2002.0,31.1
Latvia,LVA,2002.0,35.1
Moldova,MDA,2002.0,35.8
Maldives,MDV,2002.0,41.3
Mexico,MEX,2002.0,50.6
North Macedonia,MKD,2002.0,38.5
Mongolia,MNG,2002.0,32.9
Mozambique,MOZ,2002.0,46.9
Panama,PAN,2002.0,56.1
Peru,PER,2002.0,53.6
Poland,POL,2002.0,34.1
Paraguay,PRY,2002.0,57.3
Romania,ROU,2002.0,30.2
Russian Federation,RUS,2002.0,37.3
El Salvador,SLV,2002.0,51.9
Serbia,SRB,2002.0,32.7
Slovenia,SVN,2002.0,29.1
Sweden,SWE,2002.0,26.2
Thailand,THA,2002.0,41.9
Turkiye,TUR,2002.0,41.4
Uganda,UGA,2002.0,45.2
Ukraine,UKR,2002.0,29.0
Uruguay,URY,2002.0,45.5
United States,USA,2002.0,40.4
Uzbekistan,UZB,2002.0,33.0
"Venezuela, RB",VEN,2002.0,48.9
Viet Nam,VNM,2002.0,37.0
Samoa,WSM,2002.0,40.7
Zambia,ZMB,2002.0,42.1
Argentina,ARG,2003.0,51.0
Armenia,ARM,2003.0,33.0
Australia,AUS,2003.0,33.5
Austria,AUT,2003.0,29.5
Azerbaijan,AZE,2003.0,26.8
Belgium,BEL,2003.0,28.1
Benin,BEN,2003.0,38.6
Burkina Faso,BFA,2003.0,43.3
Bulgaria,BGR,2003.0,28.9
Belarus,BLR,2003.0,28.8
Brazil,BRA,2003.0,57.6
Bhutan,BTN,2003.0,40.9
Canada,CAN,2003.0,33.8
Chile,CHL,2003.0,51.5
Colombia,COL,2003.0,53.6
Costa Rica,CRI,2003.0,49.3
Germany,DEU,2003.0,29.8
Denmark,DNK,2003.0,25.6
Dominican Republic,DOM,2003.0,52.1
