country,country_code,year,gini,Region,income_group
"Venezuela, RB",VEN,1987.0,53.4,Latin America & Caribbean,
Belgium,BEL,1988.0,25.7,Europe & Central Asia,High income
Bangladesh,BGD,1988.0,28.8,South Asia,Lower middle income
Brazil,BRA,1988.0,61.4,Latin America & Caribbean,Upper middle income
Canada,CAN,1988.0,31.2,North America,High income
Cote d'Ivoire,CIV,1988.0,36.9,Sub-Saharan Africa,Lower middle income
Colombia,COL,1988.0,53.1,Latin America & Caribbean,Upper middle income
Algeria,DZA,1988.0,37.4,Middle East & North Africa,Upper middle income
United Kingdom,GBR,1988.0,34.3,Europe & Central Asia,High income
Ghana,GHA,1988.0,36.0,Sub-Saharan Africa,Lower middle income
Croatia,HRV,1988.0,22.8,Europe & Central Asia,High income
Jamaica,JAM,1988.0,43.2,Latin America & Caribbean,Upper middle income
Luxembourg,LUX,1988.0,28.8,Europe & Central Asia,High income
Philippines,PHL,1988.0,40.7,East Asia & Pacific,Lower middle income
Thailand,THA,1988.0,43.8,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,1988.0,42.6,Latin America & Caribbean,High income
United States,USA,1988.0,37.7,North America,High income
Australia,AUS,1989.0,33.2,East Asia & Pacific,High income
Bulgaria,BGR,1989.0,23.4,Europe & Central Asia,High income
Brazil,BRA,1989.0,63.2,Latin America & Caribbean,Upper middle income
Canada,CAN,1989.0,31.0,North America,High income
Colombia,COL,1989.0,52.8,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1989.0,45.5,Latin America & Caribbean,High income
Dominican Republic,DOM,1989.0,50.4,Latin America & Caribbean,Upper middle income
United Kingdom,GBR,1989.0,33.4,Europe & Central Asia,High income
Guatemala,GTM,1989.0,58.8,Latin America & Caribbean,Upper middle income
Honduras,HND,1989.0,55.4,Latin America & Caribbean,Lower middle income
Hungary,HUN,1989.0,25.0,Europe & Central Asia,High income
Italy,ITA,1989.0,32.1,Europe & Central Asia,High income
Luxembourg,LUX,1989.0,30.8,Europe & Central Asia,High income
Mexico,MEX,1989.0,50.1,Latin America & Caribbean,Upper middle income
Malaysia,MYS,1989.0,46.2,East Asia & Pacific,Upper middle income
Panama,PAN,1989.0,58.5,Latin America & Caribbean,High income
Poland,POL,1989.0,26.8,Europe & Central Asia,High income
Romania,ROU,1989.0,23.3,Europe & Central Asia,High income
El Salvador,SLV,1989.0,48.7,Latin America & Caribbean,Upper middle income
Uganda,UGA,1989.0,44.4,Sub-Saharan Africa,Low income
Uruguay,URY,1989.0,42.4,Latin America & Caribbean,High income
United States,USA,1989.0,38.2,North America,High income
"Venezuela, RB",VEN,1989.0,43.8,Latin America & Caribbean,
Bolivia,BOL,1990.0,42.0,Latin America & Caribbean,Lower middle income
Brazil,BRA,1990.0,60.5,Latin America & Caribbean,Upper middle income
Canada,CAN,1990.0,31.4,North America,High income
Chile,CHL,1990.0,57.2,Latin America & Caribbean,High income
China,CHN,1990.0,32.2,East Asia & Pacific,Upper middle income
Costa Rica,CRI,1990.0,45.2,Latin America & Caribbean,High income
"Egypt, Arab Rep.",EGY,1990.0,32.0,Middle East & North Africa,Lower middle income
Spain,ESP,1990.0,32.0,Europe & Central Asia,High income
France,FRA,1990.0,32.1,Europe & Central Asia,High income
United Kingdom,GBR,1990.0,35.7,Europe & Central Asia,High income
Honduras,HND,1990.0,55.9,Latin America & Caribbean,Lower middle income
Indonesia,IDN,1990.0,31.1,East Asia & Pacific,Upper middle income
"Iran, Islamic Rep.",IRN,1990.0,43.6,Middle East & North Africa,Upper middle income
Jamaica,JAM,1990.0,41.1,Latin America & Caribbean,Upper middle income
Sri Lanka,LKA,1990.0,32.4,South Asia,Lower middle income
Luxembourg,LUX,1990.0,27.7,Europe & Central Asia,High income
Morocco,MAR,1990.0,39.2,Middle East & North Africa,Lower middle income
Netherlands,NLD,1990.0,31.1,Europe & Central Asia,High income
Pakistan,PAK,1990.0,33.2,Middle East & North Africa,Lower middle income
Paraguay,PRY,1990.0,40.8,Latin America & Caribbean,Upper middle income
Thailand,THA,1990.0,45.3,East Asia & Pacific,Upper middle income
Tunisia,TUN,1990.0,40.1,Middle East & North Africa,Lower middle income
United States,USA,1990.0,38.3,North America,High income
Argentina,ARG,1991.0,46.8,Latin America & Caribbean,Upper middle income
Bangladesh,BGD,1991.0,27.6,South Asia,Lower middle income
Canada,CAN,1991.0,31.9,North America,High income
Colombia,COL,1991.0,51.3,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1991.0,46.6,Latin America & Caribbean,High income
Germany,DEU,1991.0,29.5,Europe & Central Asia,High income
Finland,FIN,1991.0,22.9,Europe & Central Asia,High income
United Kingdom,GBR,1991.0,35.0,Europe & Central Asia,High income
Ghana,GHA,1991.0,38.4,Sub-Saharan Africa,Lower middle income
Guinea,GIN,1991.0,45.6,Sub-Saharan Africa,Lower middle income
Guinea-Bissau,GNB,1991.0,55.8,Sub-Saharan Africa,Low income
Honduras,HND,1991.0,51.8,Latin America & Caribbean,Lower middle income
Hungary,HUN,1991.0,29.6,Europe & Central Asia,High income
Italy,ITA,1991.0,31.0,Europe & Central Asia,High income
Luxembourg,LUX,1991.0,27.2,Europe & Central Asia,High income
Norway,NOR,1991.0,25.2,Europe & Central Asia,High income
Panama,PAN,1991.0,58.0,Latin America & Caribbean,High income
Philippines,PHL,1991.0,43.8,East Asia & Pacific,Lower middle income
Senegal,SEN,1991.0,54.0,Sub-Saharan Africa,Lower middle income
El Salvador,SLV,1991.0,53.8,Latin America & Caribbean,Upper middle income
Tanzania,TZA,1991.0,35.3,Sub-Saharan Africa,Lower middle income
United States,USA,1991.0,38.0,North America,High income
Zambia,ZMB,1991.0,59.4,Sub-Saharan Africa,Lower middle income
Argentina,ARG,1992.0,45.5,Latin America & Caribbean,Upper middle income
Burundi,BDI,1992.0,33.3,Sub-Saharan Africa,Low income
Belgium,BEL,1992.0,24.9,Europe & Central Asia,High income
Bulgaria,BGR,1992.0,30.7,Europe & Central Asia,High income
Bolivia,BOL,1992.0,49.1,Latin America & Caribbean,Lower middle income
Brazil,BRA,1992.0,53.1,Latin America & Caribbean,Upper middle income
Central African Republic,CAF,1992.0,59.7,Sub-Saharan Africa,Low income
Canada,CAN,1992.0,31.6,North America,High income
Switzerland,CHE,1992.0,33.9,Europe & Central Asia,High income
Chile,CHL,1992.0,54.8,Latin America & Caribbean,High income
Cote d'Ivoire,CIV,1992.0,39.4,Sub-Saharan Africa,Lower middle income
Colombia,COL,1992.0,51.3,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1992.0,45.6,Latin America & Caribbean,High income
Czechia,CZE,1992.0,20.7,Europe & Central Asia,High income
Germany,DEU,1992.0,29.1,Europe & Central Asia,High income
Denmark,DNK,1992.0,24.7,Europe & Central Asia,High income
Dominican Republic,DOM,1992.0,51.1,Latin America & Caribbean,Upper middle income
United Kingdom,GBR,1992.0,35.0,Europe & Central Asia,High income
Guyana,GUY,1992.0,39.5,Latin America & Caribbean,High income
Honduras,HND,1992.0,51.8,Latin America & Caribbean,Lower middle income
Israel,ISR,1992.0,35.5,Middle East & North Africa,High income
Jordan,JOR,1992.0,43.1,Middle East & North Africa,Lower middle income
Kenya,KEN,1992.0,56.9,Sub-Saharan Africa,Lower middle income
Lao PDR,LAO,1992.0,34.3,East Asia & Pacific,Lower middle income
Luxembourg,LUX,1992.0,27.3,Europe & Central Asia,High income
Mexico,MEX,1992.0,52.3,Latin America & Caribbean,Upper middle income
Malaysia,MYS,1992.0,47.7,East Asia & Pacific,Upper middle income
Niger,NER,1992.0,36.0,Sub-Saharan Africa,Low income
Nigeria,NGA,1992.0,44.9,Sub-Saharan Africa,Lower middle income
Poland,POL,1992.0,29.3,Europe & Central Asia,High income
Romania,ROU,1992.0,25.5,Europe & Central Asia,High income
Slovak Republic,SVK,1992.0,20.2,Europe & Central Asia,High income
Sweden,SWE,1992.0,24.9,Europe & Central Asia,High income
Thailand,THA,1992.0,47.9,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,1992.0,40.2,Latin America & Caribbean,High income
Uganda,UGA,1992.0,41.4,Sub-Saharan Africa,Low income
Ukraine,UKR,1992.0,29.7,Europe & Central Asia,Upper middle income
Uruguay,URY,1992.0,41.5,Latin America & Caribbean,High income
United States,USA,1992.0,38.4,North America,High income
"Venezuela, RB",VEN,1992.0,42.1,Latin America & Caribbean,
Viet Nam,VNM,1992.0,35.7,East Asia & Pacific,Lower middle income
Argentina,ARG,1993.0,44.8,Latin America & Caribbean,Upper middle income
Belarus,BLR,1993.0,21.6,Europe & Central Asia,Upper middle income
Belize,BLZ,1993.0,60.2,Latin America & Caribbean,Upper middle income
Brazil,BRA,1993.0,60.1,Latin America & Caribbean,Upper middle income
Botswana,BWA,1993.0,60.1,Sub-Saharan Africa,Upper middle income
Canada,CAN,1993.0,31.7,North America,High income
China,CHN,1993.0,33.9,East Asia & Pacific,Upper middle income
Costa Rica,CRI,1993.0,45.9,Latin America & Caribbean,High income
Czechia,CZE,1993.0,26.6,Europe & Central Asia,High income
Germany,DEU,1993.0,28.6,Europe & Central Asia,High income
Spain,ESP,1993.0,35.7,Europe & Central Asia,High income
Estonia,EST,1993.0,39.4,Europe & Central Asia,High income
United Kingdom,GBR,1993.0,35.1,Europe & Central Asia,High income
Guinea-Bissau,GNB,1993.0,43.6,Sub-Saharan Africa,Low income
Honduras,HND,1993.0,53.4,Latin America & Caribbean,Lower middle income
Hungary,HUN,1993.0,27.9,Europe & Central Asia,High income
Indonesia,IDN,1993.0,31.8,East Asia & Pacific,Upper middle income
India,IND,1993.0,26.1,South Asia,Lower middle income
Italy,ITA,1993.0,35.1,Europe & Central Asia,High income
Jamaica,JAM,1993.0,35.7,Latin America & Caribbean,Upper middle income
Kazakhstan,KAZ,1993.0,32.7,Europe & Central Asia,Upper middle income
Lithuania,LTU,1993.0,33.2,Europe & Central Asia,High income
Luxembourg,LUX,1993.0,27.0,Europe & Central Asia,High income
Latvia,LVA,1993.0,27.0,Europe & Central Asia,High income
Madagascar,MDG,1993.0,45.2,Sub-Saharan Africa,Low income
Mauritania,MRT,1993.0,49.5,Sub-Saharan Africa,Lower middle income
Namibia,NAM,1993.0,71.1,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,1993.0,57.1,Latin America & Caribbean,Lower middle income
Netherlands,NLD,1993.0,30.4,Europe & Central Asia,High income
Poland,POL,1993.0,26.7,Europe & Central Asia,High income
Russian Federation,RUS,1993.0,45.4,Europe & Central Asia,High income
Slovenia,SVN,1993.0,29.1,Europe & Central Asia,High income
Ukraine,UKR,1993.0,28.9,Europe & Central Asia,Upper middle income
United States,USA,1993.0,40.4,North America,High income
South Africa,ZAF,1993.0,59.3,Sub-Saharan Africa,Upper middle income
Zambia,ZMB,1993.0,52.6,Sub-Saharan Africa,Lower middle income
Argentina,ARG,1994.0,45.9,Latin America & Caribbean,Upper middle income
Austria,AUT,1994.0,30.8,Europe & Central Asia,High income
Burkina Faso,BFA,1994.0,48.0,Sub-Saharan Africa,Low income
Bulgaria,BGR,1994.0,24.3,Europe & Central Asia,High income
Belize,BLZ,1994.0,60.9,Latin America & Caribbean,Upper middle income
Canada,CAN,1994.0,31.3,North America,High income
Chile,CHL,1994.0,56.4,Latin America & Caribbean,High income
Costa Rica,CRI,1994.0,46.7,Latin America & Caribbean,High income
Germany,DEU,1994.0,29.2,Europe & Central Asia,High income
Ecuador,ECU,1994.0,53.3,Latin America & Caribbean,Upper middle income
Spain,ESP,1994.0,35.1,Europe & Central Asia,High income
United Kingdom,GBR,1994.0,36.0,Europe & Central Asia,High income
Guinea,GIN,1994.0,46.1,Sub-Saharan Africa,Lower middle income
Honduras,HND,1994.0,55.0,Latin America & Caribbean,Lower middle income
Hungary,HUN,1994.0,33.3,Europe & Central Asia,High income
Ireland,IRL,1994.0,36.9,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1994.0,43.0,Middle East & North Africa,Upper middle income
Kenya,KEN,1994.0,43.1,Sub-Saharan Africa,Lower middle income
Lesotho,LSO,1994.0,63.0,Sub-Saharan Africa,Lower middle income
Luxembourg,LUX,1994.0,28.1,Europe & Central Asia,High income
Mexico,MEX,1994.0,53.4,Latin America & Caribbean,Upper middle income
Mali,MLI,1994.0,50.1,Sub-Saharan Africa,Low income
Niger,NER,1994.0,41.5,Sub-Saharan Africa,Low income
Peru,PER,1994.0,44.0,Latin America & Caribbean,Upper middle income
Philippines,PHL,1994.0,42.9,East Asia & Pacific,Lower middle income
Romania,ROU,1994.0,28.2,Europe & Central Asia,High income
Senegal,SEN,1994.0,39.2,Sub-Saharan Africa,Lower middle income
Eswatini,SWZ,1994.0,58.7,Sub-Saharan Africa,Lower middle income
Thailand,THA,1994.0,43.5,East Asia & Pacific,Upper middle income
Turkiye,TUR,1994.0,41.3,Europe & Central Asia,Upper middle income
United States,USA,1994.0,40.0,North America,High income
Argentina,ARG,1995.0,48.9,Latin America & Caribbean,Upper middle income
Australia,AUS,1995.0,32.6,East Asia & Pacific,High income
Austria,AUT,1995.0,29.9,Europe & Central Asia,High income
Azerbaijan,AZE,1995.0,34.6,Europe & Central Asia,Upper middle income
Belgium,BEL,1995.0,28.4,Europe & Central Asia,High income
Bangladesh,BGD,1995.0,32.9,South Asia,Lower middle income
Bulgaria,BGR,1995.0,32.8,Europe & Central Asia,High income
Belarus,BLR,1995.0,28.7,Europe & Central Asia,Upper middle income
Belize,BLZ,1995.0,57.5,Latin America & Caribbean,Upper middle income
Brazil,BRA,1995.0,59.5,Latin America & Caribbean,Upper middle income
Canada,CAN,1995.0,31.5,North America,High income
Cote d'Ivoire,CIV,1995.0,40.6,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1995.0,45.7,Latin America & Caribbean,High income
Germany,DEU,1995.0,28.8,Europe & Central Asia,High income
Denmark,DNK,1995.0,23.0,Europe & Central Asia,High income
Algeria,DZA,1995.0,35.3,Middle East & North Africa,Upper middle income
Ecuador,ECU,1995.0,50.8,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1995.0,30.1,Middle East & North Africa,Lower middle income
Spain,ESP,1995.0,35.7,Europe & Central Asia,High income
Estonia,EST,1995.0,30.1,Europe & Central Asia,High income
Ethiopia,ETH,1995.0,44.6,Sub-Saharan Africa,
Finland,FIN,1995.0,23.5,Europe & Central Asia,High income
United Kingdom,GBR,1995.0,35.5,Europe & Central Asia,High income
Greece,GRC,1995.0,37.0,Europe & Central Asia,High income
Honduras,HND,1995.0,55.5,Latin America & Caribbean,Lower middle income
Ireland,IRL,1995.0,37.0,Europe & Central Asia,High income
Italy,ITA,1995.0,35.2,Europe & Central Asia,High income
St. Lucia,LCA,1995.0,42.6,Latin America & Caribbean,Upper middle income
Sri Lanka,LKA,1995.0,35.4,South Asia,Lower middle income
Luxembourg,LUX,1995.0,28.3,Europe & Central Asia,High income
Latvia,LVA,1995.0,31.0,Europe & Central Asia,High income
Mongolia,MNG,1995.0,33.2,East Asia & Pacific,Upper middle income
Mauritania,MRT,1995.0,37.7,Sub-Saharan Africa,Lower middle income
Malaysia,MYS,1995.0,48.5,East Asia & Pacific,Upper middle income
Norway,NOR,1995.0,26.0,Europe & Central Asia,High income
Nepal,NPL,1995.0,35.2,South Asia,Lower middle income
Panama,PAN,1995.0,57.6,Latin America & Caribbean,High income
Poland,POL,1995.0,34.6,Europe & Central Asia,High income
Paraguay,PRY,1995.0,58.1,Latin America & Caribbean,Upper middle income
Romania,ROU,1995.0,31.2,Europe & Central Asia,High income
El Salvador,SLV,1995.0,49.8,Latin America & Caribbean,Upper middle income
Sweden,SWE,1995.0,25.2,Europe & Central Asia,High income
Tunisia,TUN,1995.0,41.7,Middle East & North Africa,Lower middle income
Ukraine,UKR,1995.0,39.2,Europe & Central Asia,Upper middle income
Uruguay,URY,1995.0,40.9,Latin America & Caribbean,High income
United States,USA,1995.0,39.9,North America,High income
"Venezuela, RB",VEN,1995.0,47.2,Latin America & Caribbean,
Albania,ALB,1996.0,27.0,Europe & Central Asia,Upper middle income
Argentina,ARG,1996.0,49.5,Latin America & Caribbean,Upper middle income
Armenia,ARM,1996.0,44.4,Europe & Central Asia,Upper middle income
Austria,AUT,1996.0,29.3,Europe & Central Asia,High income
Belize,BLZ,1996.0,56.6,Latin America & Caribbean,Upper middle income
Brazil,BRA,1996.0,59.8,Latin America & Caribbean,Upper middle income
Canada,CAN,1996.0,32.8,North America,High income
Chile,CHL,1996.0,54.9,Latin America & Caribbean,High income
China,CHN,1996.0,35.2,East Asia & Pacific,Upper middle income
Cameroon,CMR,1996.0,44.4,Sub-Saharan Africa,Lower middle income
Colombia,COL,1996.0,56.8,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1996.0,46.5,Latin America & Caribbean,High income
Czechia,CZE,1996.0,25.8,Europe & Central Asia,High income
Germany,DEU,1996.0,28.0,Europe & Central Asia,High income
Dominican Republic,DOM,1996.0,47.4,Latin America & Caribbean,Upper middle income
Spain,ESP,1996.0,36.5,Europe & Central Asia,High income
France,FRA,1996.0,32.0,Europe & Central Asia,High income
United Kingdom,GBR,1996.0,35.3,Europe & Central Asia,High income
Georgia,GEO,1996.0,37.1,Europe & Central Asia,Upper middle income
Honduras,HND,1996.0,55.7,Latin America & Caribbean,Lower middle income
Indonesia,IDN,1996.0,34.2,East Asia & Pacific,Upper middle income
Ireland,IRL,1996.0,35.6,Europe & Central Asia,High income
Jamaica,JAM,1996.0,40.4,Latin America & Caribbean,Upper middle income
Kazakhstan,KAZ,1996.0,35.4,Europe & Central Asia,Upper middle income
Lithuania,LTU,1996.0,32.3,Europe & Central Asia,High income
Luxembourg,LUX,1996.0,29.0,Europe & Central Asia,High income
Latvia,LVA,1996.0,31.6,Europe & Central Asia,High income
Mexico,MEX,1996.0,52.0,Latin America & Caribbean,Upper middle income
Mozambique,MOZ,1996.0,53.3,Sub-Saharan Africa,Low income
Nigeria,NGA,1996.0,51.9,Sub-Saharan Africa,Lower middle income
Pakistan,PAK,1996.0,28.7,Middle East & North Africa,Lower middle income
Papua New Guinea,PNG,1996.0,45.8,East Asia & Pacific,Lower middle income
Poland,POL,1996.0,32.6,Europe & Central Asia,High income
Russian Federation,RUS,1996.0,46.1,Europe & Central Asia,High income
El Salvador,SLV,1996.0,51.0,Latin America & Caribbean,Upper middle income
Slovak Republic,SVK,1996.0,26.3,Europe & Central Asia,High income
Syrian Arab Republic,SYR,1996.0,35.2,Middle East & North Africa,Low income
Thailand,THA,1996.0,42.9,East Asia & Pacific,Upper middle income
Uganda,UGA,1996.0,39.0,Sub-Saharan Africa,Low income
Ukraine,UKR,1996.0,35.2,Europe & Central Asia,Upper middle income
Uruguay,URY,1996.0,40.8,Latin America & Caribbean,High income
United States,USA,1996.0,40.3,North America,High income
